"Anger","Fear","Joy","Sadness"
"0.472","0.479","0.252","0.546"
"0.404","0.563","0.451","0.539"
"0.584","0.392","0.337","0.516"
"0.335","0.37","0.363","0.346"
"0.582","0.486","0.257","0.537"
"0.445","0.497","0.18","0.52"
"0.366","0.475","0.454","0.357"
"0.451","0.595","0.194","0.616"
"0.296","0.251","0.46","0.288"
"0.2","0.284","0.555","0.302"
"0.512","0.634","0.291","0.655"
"0.307","0.308","0.418","0.331"
"0.318","0.444","0.403","0.45"
"0.476","0.591","0.243","0.652"
"0.419","0.543","0.233","0.497"
"0.392","0.678","0.356","0.541"
"0.389","0.594","0.332","0.515"
"0.467","0.561","0.199","0.716"
"0.314","0.361","0.412","0.353"
"0.545","0.474","0.221","0.623"
"0.629","0.626","0.14","0.676"
"0.344","0.426","0.4","0.516"
"0.201","0.234","0.682","0.151"
"0.135","0.132","0.716","0.203"
"0.548","0.573","0.187","0.6"
"0.436","0.514","0.255","0.556"
"0.496","0.554","0.259","0.509"
"0.525","0.727","0.215","0.819"
"0.52","0.563","0.226","0.449"
"0.513","0.55","0.35","0.617"
"0.248","0.36","0.62","0.21"
"0.429","0.658","0.316","0.671"
"0.371","0.378","0.518","0.391"
"0.701","0.561","0.167","0.604"
"0.396","0.546","0.363","0.394"
"0.389","0.532","0.336","0.567"
"0.319","0.345","0.39","0.36"
"0.398","0.326","0.314","0.452"
"0.487","0.242","0.338","0.415"
"0.396","0.576","0.376","0.545"
"0.19","0.161","0.576","0.212"
"0.24","0.376","0.549","0.298"
"0.317","0.374","0.335","0.34"
"0.546","0.465","0.295","0.445"
"0.566","0.557","0.168","0.572"
"0.418","0.445","0.381","0.502"
"0.362","0.474","0.336","0.441"
"0.373","0.661","0.264","0.622"
"0.23","0.357","0.447","0.316"
"0.455","0.63","0.35","0.565"
"0.27","0.308","0.46","0.224"
"0.403","0.545","0.18","0.7"
"0.537","0.518","0.268","0.649"
"0.38","0.506","0.293","0.452"
"0.359","0.348","0.398","0.354"
"0.442","0.45","0.253","0.444"
"0.656","0.645","0.039","0.628"
"0.202","0.286","0.56","0.228"
"0.485","0.599","0.348","0.432"
"0.118","0.235","0.557","0.296"
"0.468","0.581","0.216","0.524"
"0.308","0.474","0.429","0.407"
"0.377","0.429","0.289","0.376"
"0.524","0.678","0.27","0.604"
"0.389","0.353","0.705","0.344"
"0.465","0.477","0.227","0.605"
"0.584","0.744","0.126","0.667"
"0.562","0.774","0.191","0.704"
"0.459","0.514","0.287","0.547"
"0.309","0.444","0.442","0.339"
"0.44","0.409","0.503","0.555"
"0.412","0.603","0.312","0.555"
"0.305","0.423","0.386","0.336"
"0.518","0.616","0.254","0.56"
"0.42","0.519","0.204","0.534"
"0.648","0.575","0.125","0.65"
"0.312","0.214","0.54","0.238"
"0.243","0.366","0.307","0.407"
"0.222","0.135","0.719","0.157"
"0.571","0.51","0.354","0.564"
"0.729","0.616","0.182","0.891"
"0.478","0.558","0.309","0.455"
"0.452","0.509","0.394","0.481"
"0.677","0.614","0.302","0.601"
"0.122","0.146","0.862","0.109"
"0.249","0.344","0.464","0.267"
"0.411","0.35","0.459","0.443"
"0.334","0.435","0.419","0.428"
"0.51","0.714","0.155","0.762"
"0.262","0.581","0.434","0.414"
"0.312","0.494","0.484","0.458"
"0.567","0.584","0.183","0.726"
"0.419","0.49","0.381","0.425"
"0.454","0.469","0.212","0.547"
"0.335","0.378","0.321","0.434"
"0.809","0.612","0.217","0.737"
"0.4","0.499","0.377","0.422"
"0.35","0.308","0.378","0.344"
"0.459","0.486","0.192","0.472"
"0.534","0.567","0.385","0.576"
"0.32","0.489","0.383","0.465"
"0.262","0.29","0.624","0.281"
"0.233","0.324","0.733","0.208"
"0.174","0.203","0.533","0.335"
"0.382","0.452","0.394","0.421"
"0.301","0.513","0.438","0.384"
"0.342","0.491","0.38","0.48"
"0.312","0.309","0.64","0.281"
"0.487","0.531","0.191","0.523"
"0.575","0.752","0.246","0.697"
"0.462","0.469","0.257","0.466"
"0.271","0.282","0.668","0.275"
"0.356","0.68","0.126","0.617"
"0.434","0.439","0.357","0.404"
"0.351","0.542","0.425","0.537"
"0.243","0.231","0.524","0.297"
"0.37","0.255","0.609","0.34"
"0.216","0.406","0.491","0.407"
"0.542","0.711","0.267","0.656"
"0.249","0.165","0.573","0.325"
"0.56","0.68","0.316","0.592"
"0.506","0.77","0.182","0.686"
"0.416","0.506","0.268","0.428"
"0.473","0.598","0.246","0.46"
"0.305","0.397","0.532","0.462"
"0.267","0.318","0.429","0.261"
"0.212","0.296","0.642","0.198"
"0.443","0.473","0.402","0.46"
"0.27","0.386","0.443","0.42"
"0.486","0.572","0.299","0.547"
"0.381","0.315","0.56","0.321"
