Anger,Fear,Joy,Sadness
0.02,0.02,0.02,0.01
0.02,0.02,0.04,0.02
0.03,0.03,0.08,0.02
0.13,0.69678,0.06,0.12
0.02,0.02,0.09,0.02
0.02,0.02,0.02,0.01
0.17,0.14,0.0054,0.69272
0.02,0.02,0.69552,0.0045
0.69916,0.03,0.02,0.03
0.18,0.69692,0.06,0.09
0.02,0.02,0.02,0.01
0.69909,0.07,0.01,0.02
0.02,0.02,0.07,0.02
0.02,0.01,0.02,0.01
0.6993,0.03,0.01,0.02
0.69916,0.03,0.03,0.02
0.02,0.02,0.02,0.01
0.02,0.02,0.02,0.02
0.02,0.03,0.02,0.01
0.07,0.04,0.68397,0.07
0.03,0.03,0.07,0.02
0.12,0.12,0.7282,0.2658
0.69867,0.04,0.02,0.07
0.6993,0.04,0.01,0.02
0.03,0.02,0.07,0.02
0.07,0.04,0.1,0.02
0.15,0.06,0.0947,0.09
0.02,0.01,0.02,0.01
0.02,0.07,0.16,0.07
0.69909,0.03,0.02,0.03
0.69916,0.03,0.02,0.03
0.03,0.02,0.69818,0.09
0.0022,0.16,0.0026,0.69419
0.02,0.02,0.14,0.01
0.68502,0.0203,0.02,0.03
0.69923,0.03,0.02,0.02
0.69909,0.03,0.02,0.03
0.69916,0.03,0.02,0.03
0.02,0.03,0.09,0.02
0.69923,0.03,0.03,0.01
0.69916,0.05,0.01,0.03
0.6993,0.03,0.01,0.02
0.6993,0.04,0.02,0.01
0.3743,0.623,0.05,0.07
0.02,0.01,0.03,0.01
0.02,0.02,0.03,0.02
0.69902,0.04,0.01,0.04
0.2044,0.792,0.06,0.1
0.8968,0.0057,0.0574,0.0081
0.02,0.06,0.08,0.02
0.69923,0.04,0.01,0.02
0.02,0.01,0.04,0.01
0.04,0.04,0.04,0.02
0.03,0.02,0.69818,0.12
0.69874,0.06,0.01,0.06
0.03,0.02,0.03,0.02
0.02,0.02,0.02,0.01
0.18,0.13,0.0039,0.69384
0.6993,0.04,0.02,0.02
0.69923,0.04,0.02,0.02
0.6993,0.03,0.02,0.02
0.15,0.69664,0.09,0.1
0.03,0.02,0.69846,0.07
0.03,0.03,0.69405,0.13
