Angry,Fear,Joy,Sadness
0,0,0,0
0,0,0,0.67
1,0,0,0
0,0,0,0.5
0,0,0,0
0,1,0,0
0.25,0,0,0.25
0,0.67,0,0.33
0,0.5,0,0.5
0,0,1,0
0,0,0,1
0,0.5,0.5,0
0,0,0,0
0,0,0,1
0.12,0.38,0,0.38
0,0,0,1
0,0.5,0,0
0,0,0.5,0.5
0,0,0,1
0,0.5,0,0.25
0.5,0,0,0
0,0.14,0.14,0.14
0,0,1,0
0,0,0.4,0
0,0.33,0.33,0.33
0.33,0,0.22,0.11
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0.33,0.67,0
0,0,0.5,0.5
0,0,0.67,0.33
0.14,0,0.29,0.14
0,0.29,0.43,0.14
0,0.75,0,0.25
0,0,0,0
0.25,0.25,0.25,0
0.33,0.33,0,0
0.5,0,0.5,0
0,0.75,0.25,0
0,0.5,0.5,0
0,0.33,0.33,0.33
0,0.5,0.25,0.25
0,0.4,0,0.6
0,0,0,0
0,0,0,0.44
0,0,0,0.75
0,0,0,0
0,0,0,0.5
0,0.33,0,0.67
0,1,0,0
0,0,0,0
0.5,0.5,0,0
0,0.33,0.67,0
0,0.5,0,0.5
0,0.33,0,0.5
0,0.67,0,0
0,0,0.25,0.5
0,0.25,0.75,0
0,0,0,0
0,0.5,0,0
0,0,0.5,0
0,0,0,0
0,0,0,0
0,0.67,0,0.33
0,1,0,0
0,0.25,0,0.5
0,0.75,0,0
0,1,0,0
0,0,0,0
0,0.5,0.17,0.17
0,0,0,0
0,0,0,1
0.5,0,0,0
0,0.5,0.5,0
0,0.5,0.5,0
0,0,0.33,0
0,0,0.5,0
0,0,0,1
0,0,0,0
0,0.2,0,0.4
0,0.33,0.33,0
1,0,0,0
0,0,0.33,0.33
0,0.67,0,0.33
0,0,0,0.5
0,0,0,0.67
0,1,0,0
0,0,0,1
0,0.2,0.2,0.4
0.2,0.2,0.2,0.2
0.33,0.17,0,0.17
0,0,0,1
0.2,0.2,0,0.6
0.5,0,0,0
0,0.33,0,0.33
0,0,1,0
0,1,0,0
0,0,0.12,0.5
0.2,0.2,0.4,0.2
0,0,1,0
0,0,0,1
0.33,0,0.33,0
0.22,0.33,0.11,0.11
0,0,0.25,0
0,0.5,0.1,0.2
0,0.4,0.2,0.4
0,0,0,0
0,0.4,0,0.4
0,0.5,0,0.25
0,0,0,0
0,0.5,0,0
0.22,0.22,0.22,0.22
0,0,0,1
0,0.5,0.5,0
0,0,1,0
0.25,0.25,0.25,0.25
0,0.5,0.5,0
0,0,1,0
0,0.25,0,0.75
0,0.5,0,0.5
0,0,0,0
0,0.17,0,0.33
0,0.11,0.11,0.78
0,0,1,0
0,0,1,0
0,0.5,0,0.5
0,0,0.4,0.2
0,0.67,0,0.33
0,0.4,0.6,0
0,0.25,0.75,0
0,0,1,0
0,0.5,0,0.5
0.25,0,0,0.5
0,0.33,0,0.5
0,1,0,0
0,0.25,0.25,0
0,0.4,0,0
0.25,0,0.25,0
0,0.33,0,0.33
0.25,0.25,0.25,0
0,1,0,0
0,0.5,0,0
